Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",Greedy,heuristic_manhattan,True,0.0049970149993896484,204
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",Greedy,heuristic_misplaced_tiles,True,0.03218722343444824,1268
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",Greedy,heuristic_euclidean,True,0.0065460205078125,208
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",A*,heuristic_manhattan,True,0.04004669189453125,1123
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",A*,heuristic_misplaced_tiles,True,0.3391988277435303,8822
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",A*,heuristic_euclidean,True,0.08579087257385254,1961
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",Greedy,heuristic_manhattan,True,0.005436897277832031,207
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",Greedy,heuristic_misplaced_tiles,True,0.03643798828125,1149
"[[8, 6, 2], [4, 5, 3], [0, 1, 7]]",Greedy,heuristic_euclidean,True,0.00957798957824707,293
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",A*,heuristic_manhattan,True,0.0006797313690185547,23
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",A*,heuristic_misplaced_tiles,True,0.005561113357543945,200
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",A*,heuristic_euclidean,True,0.0010869503021240234,32
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",Greedy,heuristic_manhattan,True,0.0009098052978515625,42
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",Greedy,heuristic_misplaced_tiles,True,0.007829904556274414,331
"[[5, 0, 8], [1, 7, 2], [4, 6, 3]]",Greedy,heuristic_euclidean,True,0.0022051334381103516,69
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",A*,heuristic_manhattan,True,0.0069997310638427734,217
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",A*,heuristic_misplaced_tiles,True,0.02405405044555664,869
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",A*,heuristic_euclidean,True,0.01218414306640625,301
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",Greedy,heuristic_manhattan,True,0.00796198844909668,302
